content,score,text_clean,text_stopword,text_slang,text_no_stopwords
mudah cepat praktis,5,mudah cepat praktis,mudah cepat praktis,mudah cepat praktis,mudah cepat praktis
Tokopedia sering error sekarang.. malesin,3,tokopedia sering error sekarang malesin,tokopedia error malesin,tokopedia error malesin,tokopedia error malesin
mantapnya,5,mantapnya,mantapnya,mantapnya,mantapnya
"Tolong expedisi ID EXPRES dihapus dari daftar pengirim!!!, setiap kali menggunakan jasa kirim tersebut paket tidak pernah datang tepat waktu",1,tolong expedisi id expres dihapus dari daftar pengirim setiap kali menggunakan jasa kirim tersebut paket tidak pernah datang tepat waktu,tolong expedisi id expres dihapus daftar pengirim kali jasa kirim paket,tolong expedisi id expres dihapus daftar pengirim kali jasa kirim paket,tolong expedisi id expres dihapus daftar pengirim kali jasa kirim paket
Bagus,5,bagus,bagus,bagus,bagus
terima kasih semoga sukses,5,terima kasih semoga sukses,terima kasih semoga sukses,terima kasih semoga sukses,terima kasih semoga sukses
Selama id exprees masih ada dikurir Rekomendasi belanja gw. Enga akan gw naikin ratingnya. Gw sangat tidak rekomendasikan id express ada dikurir plus gw.,1,selama id exprees masih ada dikurir rekomendasi belanja gw enga akan gw naikin ratingnya gw sangat tidak rekomendasikan id express ada dikurir plus gw,id exprees dikurir rekomendasi belanja gw enga gw naikin ratingnya gw rekomendasikan id express dikurir plus gw,id exprees dikurir rekomendasi belanja gue enga gue naikin ratingnya gue rekomendasikan id express dikurir plus gue,id exprees dikurir rekomendasi belanja gue enga gue naikin ratingnya gue rekomendasikan id express dikurir plus gue
Pengiriman agak lambat gak sesuai estimasi yg ada di apk saat pesan tolong di perbarui,1,pengiriman agak lambat gak sesuai estimasi yg ada di apk saat pesan tolong di perbarui,pengiriman lambat gak sesuai estimasi yg apk pesan tolong perbarui,pengiriman lambat enggak sesuai estimasi yang apk pesan tolong perbarui,pengiriman lambat sesuai estimasi apk pesan tolong perbarui
Mengecewakan ga ada solusi apaan kapok pakai apk tokopedia mending apk orange,1,mengecewakan ga ada solusi apaan kapok pakai apk tokopedia mending apk orange,mengecewakan ga solusi kapok pakai apk tokopedia mending apk orange,mengecewakan enggak solusi kapok pakai apk tokopedia mending apk orange,mengecewakan solusi kapok pakai apk tokopedia mending apk orange
mudah untuk di gunakan,5,mudah untuk di gunakan,mudah,mudah,mudah
aplikasi lol ga jelas promo.a,1,aplikasi lol ga jelas promoa,aplikasi lol ga promoa,aplikasi lol enggak promoa,aplikasi lol promoa
Sangat sangat kecewa gopaylater saya di nonaktif kan permanent gara2 perpindahan tangan aja....ga bakalan dipakai lagi ni aplikasi.👎👎👎👎👎,1,sangat sangat kecewa gopaylater saya di nonaktif kan permanent gara perpindahan tangan ajaga bakalan dipakai lagi ni aplikasi,kecewa gopaylater nonaktif permanent gara perpindahan tangan ajaga dipakai ni aplikasi,kecewa gopaylater nonaktif permanent gara perpindahan tangan ajaga dipakai nih aplikasi,kecewa gopaylater nonaktif permanent gara perpindahan tangan ajaga dipakai nih aplikasi
Pesanan saya di batalkan oleh pihak tokped kenapa tiba tiba di batalkan saya sudah dapat promo untuk beli barang pas saya beli di batalkan oleh pihak tokped,1,pesanan saya di batalkan oleh pihak tokped kenapa tiba tiba di batalkan saya sudah dapat promo untuk beli barang pas saya beli di batalkan oleh pihak tokped,pesanan batalkan tokped batalkan promo beli barang pas beli batalkan tokped,pesanan batalkan tokped batalkan promo beli barang pas beli batalkan tokped,pesanan batalkan tokped batalkan promo beli barang pas beli batalkan tokped
Buat para seller jangan mau buka akun tokopedia..sebagai penjual mending di toko oren saja aman tenang,1,buat para seller jangan mau buka akun tokopediasebagai penjual mending di toko oren saja aman tenang,seller buka akun tokopediasebagai penjual mending toko oren aman tenang,seller buka akun tokopediasebagai penjual mending toko oren aman tenang,seller buka akun tokopediasebagai penjual mending toko oren aman tenang
"pengembalian dana selalu saja diproses dan belum selesai sampai berhari-hari, apakah ini trik curang Tokopedia untuk merampok kita",1,pengembalian dana selalu saja diproses dan belum selesai sampai berharihari apakah ini trik curang tokopedia untuk merampok kita,pengembalian dana diproses selesai berharihari trik curang tokopedia merampok,pengembalian dana diproses selesai berharihari trik curang tokopedia merampok,pengembalian dana diproses selesai berharihari trik curang tokopedia merampok
Kasih dulu bintang 2 kalau bagus bintang 5,2,kasih dulu bintang  kalau bagus bintang ,kasih bintang bagus bintang,kasih bintang bagus bintang,kasih bintang bagus bintang
Paket lama sampainya,1,paket lama sampainya,paket sampainya,paket sampainya,paket sampainya
Bagus di apk ini untuk pembelian barang yg di butuhkan👍👍👍,5,bagus di apk ini untuk pembelian barang yg di butuhkan,bagus apk pembelian barang yg butuhkan,bagus apk pembelian barang yang butuhkan,bagus apk pembelian barang butuhkan
"Kupon sering ilang, di event kemaren sama sekali gadapet diskon, malah orang yg akun baru pada dapet, akun lama gk dapet sama sekali, padahal pwngguna lama",1,kupon sering ilang di event kemaren sama sekali gadapet diskon malah orang yg akun baru pada dapet akun lama gk dapet sama sekali padahal pwngguna lama,kupon ilang event kemaren gadapet diskon orang yg akun dapet akun gk dapet pwngguna,kupon hilang event kemarin gadapet diskon orang yang akun dapat akun enggak dapat pwngguna,kupon hilang event kemarin gadapet diskon orang akun akun pwngguna
good,5,good,good,good,good
"Jasa pengiriman bermasalah malah dijadikan kurir rekomendasi, kalian tu mabok apa? , ada opsi yang ""waras"" buat kurir rekomendasi malah pilih yg bermasalah. Logika dipakai. Sudah dichat dikirim hari ini malah Sampek sore blm datang. Malah ada notif penjadwalan ulang pengiriman. TF !",1,jasa pengiriman bermasalah malah dijadikan kurir rekomendasi kalian tu mabok apa  ada opsi yang waras buat kurir rekomendasi malah pilih yg bermasalah logika dipakai sudah dichat dikirim hari ini malah sampek sore blm datang malah ada notif penjadwalan ulang pengiriman tf ,jasa pengiriman bermasalah dijadikan kurir rekomendasi tu mabok opsi waras kurir rekomendasi pilih yg bermasalah logika dipakai dichat dikirim sampek sore blm notif penjadwalan ulang pengiriman tf,jasa pengiriman bermasalah dijadikan kurir rekomendasi itu mabok opsi waras kurir rekomendasi pilih yang bermasalah logika dipakai dichat dikirim sampai sore belum notif penjadwalan ulang pengiriman tf,jasa pengiriman bermasalah dijadikan kurir rekomendasi mabok opsi waras kurir rekomendasi pilih bermasalah logika dipakai dichat dikirim sore notif penjadwalan ulang pengiriman tf
bagus tapi pas saya pesan paket makin lama nyampe kurir nya malas malah di sidoarjo terus ga kesini sini lama psanan saya sudah tunggu 2 minggu lo,4,bagus tapi pas saya pesan paket makin lama nyampe kurir nya malas malah di sidoarjo terus ga kesini sini lama psanan saya sudah tunggu  minggu lo,bagus pas pesan paket nyampe kurir nya malas sidoarjo ga kesini psanan tunggu minggu lo,bagus pas pesan paket sampai kurir nya malas sidoarjo enggak kesini psanan tunggu minggu lo,bagus pas pesan paket kurir nya malas sidoarjo kesini psanan tunggu minggu lo
barang di tampilkan sering harus ke destop... apa guna apk ini... bodoh,1,barang di tampilkan sering harus ke destop apa guna apk ini bodoh,barang tampilkan destop apk bodoh,barang tampilkan destop apk bodoh,barang tampilkan destop apk bodoh
Diskon ongkir apaan bos gede bener??? Ga asik lama lama,2,diskon ongkir apaan bos gede bener ga asik lama lama,diskon ongkir bos gede bener ga asik,diskon ongkir bos gede benar enggak asik,diskon ongkir bos gede asik
mantapp..,5,mantapp,mantapp,mantap,mantap
shoope>tokpet,1,shoopetokpet,shoopetokpet,shoopetokpet,shoopetokpet
"senang berbelanja di tokped, banyak gratis ongkir hehehe",5,senang berbelanja di tokped banyak gratis ongkir hehehe,senang berbelanja tokped gratis ongkir hehehe,senang berbelanja tokped gratis ongkir hehehe,senang berbelanja tokped gratis ongkir hehehe
"Tokped sekarang diskon nya dikit ngga kek dulu, bangkrut kah?",1,tokped sekarang diskon nya dikit ngga kek dulu bangkrut kah,tokped diskon nya dikit ngga kek bangkrut kah,tokped diskon nya dikit enggak kayak bangkrut kah,tokped diskon nya dikit kayak bangkrut kah
Terimakasih membantu sekali untuk mudah belja,5,terimakasih membantu sekali untuk mudah belja,terimakasih membantu mudah belja,terimakasih membantu mudah belja,terimakasih membantu mudah belja
lol lah pengiriman nya eror,1,lol lah pengiriman nya eror,lol pengiriman nya eror,lol pengiriman nya eror,lol pengiriman nya eror
"Aplikasi macem apa ini? Masa bayar ongkirnya aja mahal banget sih? Harusnya gratis ongkir dong kek di aplikasi shopee sekarang,",1,aplikasi macem apa ini masa bayar ongkirnya aja mahal banget sih harusnya gratis ongkir dong kek di aplikasi shopee sekarang,aplikasi macem bayar ongkirnya aja mahal banget sih gratis ongkir kek aplikasi shopee,aplikasi macam bayar ongkirnya saja mahal banget sih gratis ongkir kayak aplikasi shopee,aplikasi bayar ongkirnya mahal banget sih gratis ongkir kayak aplikasi shopee
Performa aplkasi lumayan tp kurir ampas banget mending spx 😁😁😁,3,performa aplkasi lumayan tp kurir ampas banget mending spx ,performa aplkasi lumayan tp kurir ampas banget mending spx,performa aplkasi lumayan tapi kurir ampas banget mending spx,performa aplkasi lumayan kurir ampas banget mending spx
"Gw gak suka ada fitur""di gagalkan sistem"" bikin marah, aplikasi kocak",1,gw gak suka ada fiturdi gagalkan sistem bikin marah aplikasi kocak,gw gak suka fiturdi gagalkan sistem bikin marah aplikasi kocak,gue enggak suka fiturdi gagalkan sistem bikin marah aplikasi kocak,gue suka fiturdi gagalkan sistem bikin marah aplikasi kocak
"tolong di perbaiki sistem rekomendasi kurir nya lemot"" pesanan selalu melebihi estimasi",1,tolong di perbaiki sistem rekomendasi kurir nya lemot pesanan selalu melebihi estimasi,tolong perbaiki sistem rekomendasi kurir nya lemot pesanan melebihi estimasi,tolong perbaiki sistem rekomendasi kurir nya lemot pesanan melebihi estimasi,tolong perbaiki sistem rekomendasi kurir nya lemot pesanan melebihi estimasi
"Hai tokped Terima kasih sebelumnya, awal Saya buat akun Saya dapat potongan belanja 100% dan ada potongan ongkir juga Tapi, setelah promo2 Saya pakai Akun Saya terban separuh, tidak bisa pakai promo apapun termasuk ongkir Segala promo tokped yg beri, tapi ko setelah di pakai malah akun Saya ga bisa pakai promo apa2 termasuk diskon ongkir Aneh kan Dia yg ngasih dia juga yg ban !!!",1,hai tokped terima kasih sebelumnya awal saya buat akun saya dapat potongan belanja  dan ada potongan ongkir juga tapi setelah promo saya pakai akun saya terban separuh tidak bisa pakai promo apapun termasuk ongkir segala promo tokped yg beri tapi ko setelah di pakai malah akun saya ga bisa pakai promo apa termasuk diskon ongkir aneh kan dia yg ngasih dia juga yg ban ,hai tokped terima kasih akun potongan belanja potongan ongkir promo pakai akun terban separuh pakai promo apapun ongkir promo tokped yg ko pakai akun ga pakai promo diskon ongkir aneh yg ngasih yg ban,hai tokped terima kasih akun potongan belanja potongan ongkir promo pakai akun terban separuh pakai promo apapun ongkir promo tokped yang kok pakai akun enggak pakai promo diskon ongkir aneh yang mengasih yang ban,hai tokped terima kasih akun potongan belanja potongan ongkir promo pakai akun terban separuh pakai promo apapun ongkir promo tokped pakai akun pakai promo diskon ongkir aneh mengasih ban
"beberapa kali mau order pesanan tapi selalu di batalkan oleh sistem, kecewa bgtt pake aplikasi ini smoga cpt di perbarui biar ga kaya gini.",1,beberapa kali mau order pesanan tapi selalu di batalkan oleh sistem kecewa bgtt pake aplikasi ini smoga cpt di perbarui biar ga kaya gini,kali order pesanan batalkan sistem kecewa bgtt pake aplikasi smoga cpt perbarui biar ga kaya gini,kali order pesanan batalkan sistem kecewa banget pakai aplikasi semoga cepat perbarui biar enggak kayak begini,kali order pesanan batalkan sistem kecewa banget pakai aplikasi semoga cepat perbarui biar kayak
sangat memudahkan untuk berbelanja,5,sangat memudahkan untuk berbelanja,memudahkan berbelanja,memudahkan berbelanja,memudahkan berbelanja
sangat puas,5,sangat puas,puas,puas,puas
keren,5,keren,keren,keren,keren
bagus sekali,5,bagus sekali,bagus,bagus,bagus
Sangat Bagus,5,sangat bagus,bagus,bagus,bagus
"Maaf aku turunkan ratingnya karena tak ada peningkatan,terutama pelayanan ekspedisi,,masa pesanan next day harus menunggu estimasi sampai 3 hari kerja,,,kan LUCUUUU ya. Pengiriman yg lambat bukannya diberi solusi dan pelayanan yg baik malah harus selalu dikomplain baru di follow up...kan LUCUUUU Maaf aku turunkan ratingnya karena tak ada peningkatan,terutama pelayanan ekspedisi,,masa pesanan next day harus menunggu estimasi sampai 3 hari kerja,,,kan LUCUUUU ya.",1,maaf aku turunkan ratingnya karena tak ada peningkatanterutama pelayanan ekspedisimasa pesanan next day harus menunggu estimasi sampai  hari kerjakan lucuuuu ya pengiriman yg lambat bukannya diberi solusi dan pelayanan yg baik malah harus selalu dikomplain baru di follow upkan lucuuuu maaf aku turunkan ratingnya karena tak ada peningkatanterutama pelayanan ekspedisimasa pesanan next day harus menunggu estimasi sampai  hari kerjakan lucuuuu ya,maaf turunkan ratingnya peningkatanterutama pelayanan ekspedisimasa pesanan next day menunggu estimasi kerjakan lucuuuu ya pengiriman yg lambat solusi pelayanan yg dikomplain follow upkan lucuuuu maaf turunkan ratingnya peningkatanterutama pelayanan ekspedisimasa pesanan next day menunggu estimasi kerjakan lucuuuu ya,maaf turunkan ratingnya peningkatanterutama pelayanan ekspedisimasa pesanan next day menunggu estimasi kerjakan lucu ya pengiriman yang lambat solusi pelayanan yang dikomplain follow upkan lucu maaf turunkan ratingnya peningkatanterutama pelayanan ekspedisimasa pesanan next day menunggu estimasi kerjakan lucu ya,maaf turunkan ratingnya peningkatanterutama pelayanan ekspedisimasa pesanan next day menunggu estimasi kerjakan lucu ya pengiriman lambat solusi pelayanan dikomplain follow upkan lucu maaf turunkan ratingnya peningkatanterutama pelayanan ekspedisimasa pesanan next day menunggu estimasi kerjakan lucu ya
"tiba"" di batalinn anj najis cuuhh",1,tiba di batalinn anj najis cuuhh,batalinn anj najis cuuhh,batalinn anjing najis cuuhh,batalinn anjing najis cuuhh
"Ada seller salah kirim,,mau lapor g ada nomor toko pedia nya,,di chat pun hanya robot z yg balas..",1,ada seller salah kirimmau lapor g ada nomor toko pedia nyadi chat pun hanya robot z yg balas,seller salah kirimmau lapor g nomor toko pedia nyadi chat robot z yg balas,seller salah kirimmau lapor enggak nomor toko pedia nyadi chat robot saja yang balas,seller salah kirimmau lapor nomor toko pedia nyadi chat robot balas
mantap,5,mantap,mantap,mantap,mantap
klo berhasil tambah 1 bintang,4,klo berhasil tambah  bintang,klo berhasil bintang,kalo berhasil bintang,kalo berhasil bintang
"Harga masih diatas aplikasi lain, mungkin kalo lebih banyak diskon lebih menarik",3,harga masih diatas aplikasi lain mungkin kalo lebih banyak diskon lebih menarik,harga diatas aplikasi kalo diskon menarik,harga diatas aplikasi kalo diskon menarik,harga diatas aplikasi kalo diskon menarik
Tokopedia care pelayanan sangat slow respon dan tidak ada solusi bagi konsumennya. Bikin kapok,1,tokopedia care pelayanan sangat slow respon dan tidak ada solusi bagi konsumennya bikin kapok,tokopedia care pelayanan slow respon solusi konsumennya bikin kapok,tokopedia care pelayanan slow respon solusi konsumennya bikin kapok,tokopedia care pelayanan slow respon solusi konsumennya bikin kapok
"Paket udah berminggu-minggu gak datang """,2,paket udah bermingguminggu gak datang ,paket udah bermingguminggu gak,paket sudah bermingguminggu enggak,paket bermingguminggu
okee,4,okee,okee,okee,okee
mantap.. jarang bermasalah,5,mantap jarang bermasalah,mantap jarang bermasalah,mantap jarang bermasalah,mantap jarang bermasalah
